Level|Parition|Comm (bits)|Time Set(s)|Time Str(s)|Str Recon True
2 3 1381147 0.031998 1.197393 1
2 5 694164 0.029541 1.289244 1
2 7 839675 0.043629 1.483547 1
2 9 887529 0.029044 1.309064 1
3 3 702075 0.045080 2.128992 1
3 5 165403 0.036500 2.210424 1
3 7 118882 0.037870 2.233747 1
3 9 94746 0.044158 2.253841 1
4 3 131865 0.040218 3.038088 1
4 5 103245 0.100416 3.029101 1
4 7 79412 0.213873 3.399527 1
4 9 127459 0.421184 3.676238 1
5 3 89359 0.102822 3.580852 1
5 5 132887 0.717318 4.950400 1
5 7 126028 2.585954 8.573255 1
5 9 100476 6.638139 16.771773 1
